IfcStrippedOptional,983
IfcAbsorbedDoseMeasure,91
IfcAccelerationMeasure,579
IfcAmountOfSubstanceMeasure,293
IfcAngularVelocityMeasure,578
IfcArcIndex,984
IfcAreaDensityMeasure,985
IfcAreaMeasure,218
IfcBinary,986
IfcBoolean,616
IfcBoxAlignment,188
IfcCardinalPointReference,987
IfcComplexNumber,650
IfcCompoundPlaneAngleMeasure,255
IfcContextDependentMeasure,617
IfcCountMeasure,217
IfcCurvatureMeasure,647
IfcDate,988
IfcDateTime,989
IfcDayInMonthNumber,194
IfcDayInWeekNumber,990
IfcDescriptiveMeasure,131
IfcDimensionCount,523
IfcDoseEquivalentMeasure,401
IfcDuration,991
IfcDynamicViscosityMeasure,646
IfcElectricCapacitanceMeasure,577
IfcElectricChargeMeasure,233
IfcElectricConductanceMeasure,296
IfcElectricCurrentMeasure,55
IfcElectricResistanceMeasure,269
IfcElectricVoltageMeasure,183
IfcEnergyMeasure,331
IfcFontStyle,434
IfcFontVariant,403
IfcFontWeight,580
IfcForceMeasure,363
IfcFrequencyMeasure,330
IfcGloballyUniqueId,443
IfcHeatFluxDensityMeasure,473
IfcHeatingValueMeasure,576
IfcIdentifier,615
IfcIlluminanceMeasure,130
IfcInductanceMeasure,400
IfcInteger,362
IfcIntegerCountRateMeasure,129
IfcIonConcentrationMeasure,541
IfcIsothermalMoistureCapacityMeasure,232
IfcKinematicViscosityMeasure,472
IfcLabel,128
IfcLanguageId,992
IfcLengthMeasure,409
IfcLineIndex,993
IfcLinearForceMeasure,361
IfcLinearMomentMeasure,682
IfcLinearStiffnessMeasure,399
IfcLinearVelocityMeasure,398
IfcLogical,54
IfcLuminousFluxMeasure,681
IfcLuminousIntensityDistributionMeasure,182
IfcLuminousIntensityMeasure,540
IfcMagneticFluxDensityMeasure,471
IfcMagneticFluxMeasure,433
IfcMassDensityMeasure,507
IfcMassFlowRateMeasure,127
IfcMassMeasure,216
IfcMassPerLengthMeasure,432
IfcModulusOfElasticityMeasure,329
IfcModulusOfLinearSubgradeReactionMeasure,614
IfcModulusOfRotationalSubgradeReactionMeasure,613
IfcModulusOfSubgradeReactionMeasure,126
IfcMoistureDiffusivityMeasure,53
IfcMolecularWeightMeasure,397
IfcMomentOfInertiaMeasure,328
IfcMonetaryMeasure,567
IfcMonthInYearNumber,193
IfcNonNegativeLengthMeasure,994
IfcNormalisedRatioMeasure,635
IfcNumericMeasure,645
IfcPHMeasure,292
IfcParameterValue,52
IfcPlanarForceMeasure,431
IfcPlaneAngleMeasure,612
IfcPositiveInteger,995
IfcPositiveLengthMeasure,445
IfcPositivePlaneAngleMeasure,680
IfcPositiveRatioMeasure,387
IfcPowerMeasure,327
IfcPresentableText,543
IfcPressureMeasure,291
IfcPropertySetDefinitionSet,996
IfcRadioActivityMeasure,539
IfcRatioMeasure,606
IfcReal,538
IfcRotationalFrequencyMeasure,430
IfcRotationalMassMeasure,644
IfcRotationalStiffnessMeasure,679
IfcSectionModulusMeasure,231
IfcSectionalAreaIntegralMeasure,506
IfcShearModulusMeasure,429
IfcSolidAngleMeasure,181
IfcSoundPowerLevelMeasure,997
IfcSoundPowerMeasure,505
IfcSoundPressureLevelMeasure,998
IfcSoundPressureMeasure,326
IfcSpecificHeatCapacityMeasure,51
IfcSpecularExponent,325
IfcSpecularRoughness,772
IfcTemperatureGradientMeasure,268
IfcTemperatureRateOfChangeMeasure,999
IfcText,537
IfcTextAlignment,583
IfcTextDecoration,582
IfcTextFontName,542
IfcTextTransformation,404
IfcThermalAdmittanceMeasure,125
IfcThermalConductivityMeasure,50
IfcThermalExpansionCoefficientMeasure,575
IfcThermalResistanceMeasure,124
IfcThermalTransmittanceMeasure,678
IfcThermodynamicTemperatureMeasure,428
IfcTime,1000
IfcTimeMeasure,6
IfcTimeStamp,605
IfcTorqueMeasure,123
IfcURIReference,1001
IfcVaporPermeabilityMeasure,267
IfcVolumeMeasure,314
IfcVolumetricFlowRateMeasure,677
IfcWarpingConstantMeasure,470
IfcWarpingMomentMeasure,49
IfcNullStyle,566
IfcActionRequestTypeEnum,1002
IfcActionSourceTypeEnum,773
IfcActionTypeEnum,774
IfcActuatorTypeEnum,775
IfcAddressTypeEnum,776
IfcAirTerminalBoxTypeEnum,778
IfcAirTerminalTypeEnum,779
IfcAirToAirHeatRecoveryTypeEnum,780
IfcAlarmTypeEnum,781
IfcAnalysisModelTypeEnum,782
IfcAnalysisTheoryTypeEnum,783
IfcArithmeticOperatorEnum,784
IfcAssemblyPlaceEnum,785
IfcAudioVisualApplianceTypeEnum,1003
IfcBSplineCurveForm,786
IfcBSplineSurfaceForm,1004
IfcBeamTypeEnum,787
IfcBenchmarkEnum,788
IfcBoilerTypeEnum,789
IfcBooleanOperator,790
IfcBuildingElementPartTypeEnum,1005
IfcBuildingElementProxyTypeEnum,791
IfcBuildingSystemTypeEnum,1006
IfcBurnerTypeEnum,1007
IfcCableCarrierFittingTypeEnum,792
IfcCableCarrierSegmentTypeEnum,793
IfcCableFittingTypeEnum,1008
IfcCableSegmentTypeEnum,794
IfcChangeActionEnum,795
IfcChillerTypeEnum,796
IfcChimneyTypeEnum,1009
IfcCoilTypeEnum,797
IfcColumnTypeEnum,798
IfcCommunicationsApplianceTypeEnum,1010
