IfcElectricFlowStorageDeviceTypeEnum,828
IfcElectricGeneratorTypeEnum,829
IfcElectricHeaterTypeEnum,830
IfcElectricMotorTypeEnum,831
IfcElectricTimeControlTypeEnum,832
IfcElementAssemblyTypeEnum,833
IfcElementCompositionEnum,834
IfcEnergySequenceEnum,835
IfcEnvironmentalImpactCategoryEnum,836
IfcEvaporativeCoolerTypeEnum,837
IfcEvaporatorTypeEnum,838
IfcFanTypeEnum,839
IfcFilterTypeEnum,840
IfcFireSuppressionTerminalTypeEnum,841
IfcFlowDirectionEnum,842
IfcFlowInstrumentTypeEnum,843
IfcFlowMeterTypeEnum,844
IfcFootingTypeEnum,845
IfcGasTerminalTypeEnum,846
IfcGeometricProjectionEnum,847
IfcGlobalOrLocalEnum,848
IfcHeatExchangerTypeEnum,849
IfcHumidifierTypeEnum,850
IfcInternalOrExternalEnum,851
IfcInventoryTypeEnum,852
IfcJunctionBoxTypeEnum,853
IfcLampTypeEnum,854
IfcLayerSetDirectionEnum,855
IfcLightDistributionCurveEnum,856
IfcLightEmissionSourceEnum,857
IfcLightFixtureTypeEnum,858
IfcLoadGroupTypeEnum,859
IfcLogicalOperatorEnum,860
IfcMemberTypeEnum,861
IfcMotorConnectionTypeEnum,862
IfcNullStyleEnum,863
IfcObjectTypeEnum,864
IfcObjectiveEnum,865
IfcOccupantTypeEnum,866
IfcOutletTypeEnum,867
IfcPermeableCoveringOperationEnum,868
IfcPhysicalOrVirtualEnum,869
IfcPileConstructionEnum,870
IfcPileTypeEnum,871
IfcPipeFittingTypeEnum,872
IfcPipeSegmentTypeEnum,873
IfcPlateTypeEnum,874
IfcProcedureTypeEnum,875
IfcProfileTypeEnum,876
IfcProjectOrderRecordTypeEnum,877
IfcProjectOrderTypeEnum,878
IfcProjectedOrTrueLengthEnum,879
IfcPropertySourceEnum,880
IfcProtectiveDeviceTypeEnum,881
IfcPumpTypeEnum,882
IfcRailingTypeEnum,883
IfcRampFlightTypeEnum,884
IfcRampTypeEnum,885
IfcReflectanceMethodEnum,886
IfcReinforcingBarRoleEnum,887
IfcReinforcingBarSurfaceEnum,888
IfcResourceConsumptionEnum,889
IfcRibPlateDirectionEnum,890
IfcRoleEnum,891
IfcRoofTypeEnum,892
IfcSIPrefix,893
IfcSIUnitName,894
IfcSanitaryTerminalTypeEnum,895
IfcSectionTypeEnum,896
IfcSensorTypeEnum,897
IfcSequenceEnum,898
IfcServiceLifeFactorTypeEnum,899
IfcServiceLifeTypeEnum,900
IfcSlabTypeEnum,901
IfcSoundScaleEnum,902
IfcSpaceHeaterTypeEnum,903
IfcSpaceTypeEnum,904
IfcStackTerminalTypeEnum,905
IfcStairFlightTypeEnum,906
IfcStairTypeEnum,907
IfcStateEnum,908
IfcStructuralCurveTypeEnum,909
IfcStructuralSurfaceTypeEnum,910
IfcSurfaceSide,911
IfcSurfaceTextureEnum,912
IfcSwitchingDeviceTypeEnum,913
IfcTankTypeEnum,914
IfcTendonTypeEnum,915
IfcTextPath,916
IfcThermalLoadSourceEnum,917
IfcThermalLoadTypeEnum,918
IfcTimeSeriesDataTypeEnum,919
IfcTimeSeriesScheduleTypeEnum,920
IfcTransformerTypeEnum,921
IfcTransitionCode,922
IfcTransportElementTypeEnum,923
IfcTrimmingPreference,924
IfcTubeBundleTypeEnum,925
IfcUnitEnum,926
IfcUnitaryEquipmentTypeEnum,927
IfcValveTypeEnum,928
IfcVibrationIsolatorTypeEnum,929
IfcWallTypeEnum,930
IfcWasteTerminalTypeEnum,931
IfcWindowPanelOperationEnum,932
IfcWindowPanelPositionEnum,933
IfcWindowStyleConstructionEnum,934
IfcWindowStyleOperationEnum,935
IfcWorkControlTypeEnum,936
IfcActorSelect,937
IfcAppliedValueSelect,938
IfcAxis2Placement,939
IfcBooleanOperand,940
IfcCharacterStyleSelect,941
IfcClassificationNotationSelect,942
IfcColour,943
IfcColourOrFactor,944
IfcConditionCriterionSelect,945
IfcCsgSelect,946
IfcCurveFontOrScaledCurveFontSelect,947
IfcCurveOrEdgeCurve,948
IfcCurveStyleFontSelect,949
IfcDateTimeSelect,950
IfcDefinedSymbolSelect,951
IfcDerivedMeasureValue,952
IfcDocumentSelect,953
IfcDraughtingCalloutElement,954
IfcFillAreaStyleTileShapeSelect,955
IfcFillStyleSelect,956
IfcGeometricSetSelect,957
IfcHatchLineDistanceSelect,958
IfcLayeredItem,959
IfcLibrarySelect,960
IfcLightDistributionDataSourceSelect,961
IfcMaterialSelect,962
IfcMeasureValue,963
IfcMetricValueSelect,964
IfcObjectReferenceSelect,965
IfcOrientationSelect,966
IfcPointOrVertexPoint,967
IfcPresentationStyleSelect,968
IfcShell,969
IfcSimpleValue,970
IfcSizeSelect,971
IfcSpecularHighlightSelect,972
IfcStructuralActivityAssignmentSelect,973
IfcSurfaceOrFaceSurface,974
IfcSurfaceStyleElementSelect,975
IfcSymbolStyleSelect,976
IfcTextFontSelect,977
IfcTextStyleSelect,978
IfcTrimmingSelect,979
IfcUnit,980
IfcValue,981
IfcVectorOrDirection,982
Ifc2DCompositeCurve,524
IfcActionRequest,516
IfcActor,250
IfcActorRole,595
IfcActuatorType,485
IfcAddress,554
IfcAirTerminalBoxType,332
IfcAirTerminalType,271
IfcAirToAirHeatRecoveryType,588
IfcAlarmType,275
IfcAngularDimension,738
IfcAnnotation,634
IfcAnnotationCurveOccurrence,57
IfcAnnotationFillArea,173
IfcAnnotationFillAreaOccurrence,544
IfcAnnotationOccurrence,58
IfcAnnotationSurface,731
IfcAnnotationSurfaceOccurrence,509
IfcAnnotationSymbolOccurrence,134
IfcAnnotationTextOccurrence,122
IfcApplication,627
IfcAppliedValue,79
IfcAppliedValueRelationship,691
IfcApproval,626
IfcApprovalActorRelationship,442
IfcApprovalPropertyRelationship,376
IfcApprovalRelationship,552
IfcArbitraryClosedProfileDef,115
IfcArbitraryOpenProfileDef,219
IfcArbitraryProfileDefWithVoids,116
IfcAsset,767
IfcAsymmetricIShapeProfileDef,672
IfcAxis1Placement,280
IfcAxis2Placement2D,411
IfcAxis2Placement3D,448
IfcBSplineCurve,167
IfcBeam,171
IfcBeamType,632
IfcBezierCurve,166
IfcBlobTexture,723
IfcBlock,702
IfcBoilerType,142
IfcBooleanClippingResult,340
IfcBooleanResult,339
IfcBoundaryCondition,320
IfcBoundaryEdgeCondition,319
IfcBoundaryFaceCondition,674
IfcBoundaryNodeCondition,394
IfcBoundaryNodeConditionWarping,395
IfcBoundedCurve,144
IfcBoundedSurface,335
IfcBoundingBox,151
IfcBoxedHalfSpace,655
IfcBuilding,169
IfcBuildingElement,26
IfcBuildingElementComponent,221
IfcBuildingElementPart,220
IfcBuildingElementProxy,560
IfcBuildingElementProxyType,107
IfcBuildingElementType,108
IfcBuildingStorey,459
IfcCShapeProfileDef,501
IfcCableCarrierFittingType,689
IfcCableCarrierSegmentType,301
IfcCableSegmentType,77
IfcCalendarDate,407
IfcCartesianPoint,410
IfcCartesianTransformationOperator,146
IfcCartesianTransformationOperator2D,145
IfcCartesianTransformationOperator2DnonUniform,147
IfcCartesianTransformationOperator3D,337
IfcCartesianTransformationOperator3DnonUniform,479
IfcCenterLineProfileDef,353
IfcChamferEdgeFeature,765
IfcChillerType,368
IfcCircle,336
IfcCircleHollowProfileDef,114
IfcCircleProfileDef,113
IfcClassification,412
IfcClassificationItem,14
IfcClassificationItemRelationship,210
IfcClassificationNotation,13
IfcClassificationNotationFacet,251
IfcClassificationReference,209
IfcClosedShell,161
IfcCoilType,622
IfcColourRgb,27
IfcColourSpecification,28
IfcColumn,383
IfcColumnType,214
IfcComplexProperty,379
IfcCompositeCurve,279
IfcCompositeCurveSegment,460
IfcCompositeProfileDef,172
IfcCompressorType,586
IfcCondenserType,297
IfcCondition,482
IfcConditionCriterion,688
IfcConic,299
IfcConnectedFaceSet,160
IfcConnectionCurveGeometry,590
IfcConnectionGeometry,70
IfcConnectionPointEccentricity,405
IfcConnectionPointGeometry,71
IfcConnectionPortGeometry,713
IfcConnectionSurfaceGeometry,69
IfcConstraint,81
IfcConstraintAggregationRelationship,82
IfcConstraintClassificationRelationship,274
IfcConstraintRelationship,374
IfcConstructionEquipmentResource,408
IfcConstructionMaterialResource,243
IfcConstructionProductResource,660
IfcConstructionResource,157
IfcContextDependentUnit,304
IfcControl,76
IfcControllerType,484
IfcConversionBasedUnit,92
IfcCooledBeamType,367
IfcCoolingTowerType,478
IfcCoordinatedUniversalTimeOffset,690
IfcCostItem,694
IfcCostSchedule,695
IfcCostValue,658
IfcCovering,382
IfcCoveringType,565
IfcCraneRailAShapeProfileDef,257
IfcCraneRailFShapeProfileDef,112
IfcCrewResource,659
IfcCsgPrimitive3D,714
IfcCsgSolid,548
IfcCurrencyRelationship,195
IfcCurtainWall,456
IfcCurtainWallType,494
IfcCurve,68
IfcCurveBoundedPlane,334
IfcCurveStyle,118
IfcCurveStyleFont,223
IfcCurveStyleFontAndScaling,569
IfcCurveStyleFontPattern,637
IfcDamperType,514
IfcDateAndTime,373
IfcDefinedSymbol,461
IfcDerivedProfileDef,390
IfcDerivedUnit,630
IfcDerivedUnitElement,380
IfcDiameterDimension,739
IfcDimensionCalloutRelationship,741
IfcDimensionCurve,742
IfcDimensionCurveDirectedCallout,737
IfcDimensionCurveTerminator,744
IfcDimensionPair,745
IfcDimensionalExponents,303
IfcDirection,344
IfcDiscreteAccessory,423
IfcDiscreteAccessoryType,135
IfcDistributionChamberElement,180
IfcDistributionChamberElementType,396
IfcDistributionControlElement,468
IfcDistributionControlElementType,197
IfcDistributionElement,44
IfcDistributionElementType,47
IfcDistributionFlowElement,45
IfcDistributionFlowElementType,61
IfcDistributionPort,178
IfcDocumentElectronicFormat,599
IfcDocumentInformation,208
IfcDocumentInformationRelationship,491
IfcDocumentReference,450
IfcDoor,213
IfcDoorLiningProperties,493
IfcDoorPanelProperties,602
IfcDoorStyle,492
IfcDraughtingCallout,222
IfcDraughtingCalloutRelationship,740
IfcDraughtingPreDefinedColour,607
IfcDraughtingPreDefinedCurveFont,286
IfcDraughtingPreDefinedTextFont,761
IfcDuctFittingType,686
IfcDuctSegmentType,270
IfcDuctSilencerType,141
IfcEdge,202
IfcEdgeCurve,203
IfcEdgeFeature,764
IfcEdgeLoop,302
IfcElectricApplianceType,192
IfcElectricDistributionPoint,242
IfcElectricFlowStorageDeviceType,372
IfcElectricGeneratorType,241
IfcElectricHeaterType,190
IfcElectricMotorType,370
IfcElectricTimeControlType,273
IfcElectricalBaseProperties,177
IfcElectricalCircuit,406
IfcElectricalElement,23
IfcElement,19
IfcElementAssembly,18
IfcElementComponent,424
IfcElementComponentType,136
IfcElementQuantity,458
IfcElementType,48
IfcElementarySurface,389
IfcEllipse,298
IfcEllipseProfileDef,285
IfcEnergyConversionDevice,175
IfcEnergyConversionDeviceType,60
IfcEnergyProperties,176
IfcEnvironmentalImpactValue,78
IfcEquipmentElement,212
IfcEquipmentStandard,152
IfcEvaporativeCoolerType,621
IfcEvaporatorType,513
IfcExtendedMaterialProperties,585
IfcExternalReference,133
IfcExternallyDefinedHatchStyle,724
IfcExternallyDefinedSurfaceStyle,318
IfcExternallyDefinedSymbol,391
IfcExternallyDefinedTextFont,132
IfcExtrudedAreaSolid,238
IfcFace,83
IfcFaceBasedSurfaceModel,438
IfcFaceBound,86
IfcFaceOuterBound,201
IfcFaceSurface,85
IfcFacetedBrep,148
IfcFacetedBrepWithVoids,369
IfcFailureConnectionCondition,640
IfcFanType,651
IfcFastener,535
IfcFastenerType,642
IfcFeatureElement,386
IfcFeatureElementAddition,385
IfcFeatureElementSubtraction,499
IfcFillAreaStyle,33
IfcFillAreaStyleHatching,462
IfcFillAreaStyleTileSymbolWithStyle,726
IfcFillAreaStyleTiles,725
IfcFilterType,139
IfcFireSuppressionTerminalType,477
IfcFlowController,121
IfcFlowControllerType,154
IfcFlowFitting,467
IfcFlowFittingType,512
IfcFlowInstrumentType,196
IfcFlowMeterType,366
IfcFlowMovingDevice,502
IfcFlowMovingDeviceType,587
